city,city_sel,first_sum,second_sum,third_sum,firm_total,GDP10000,Fiscal10000,Employment,light_sum
金昌市,,202,180,734,1116,2245163,184743,110758,9512.603311
儋州市,,139,145,837,1121,2317313,160331,402999,14972.07096
鹤岗市,,290,161,701,1152,2655736,155867,198770,8352.457845
伊春市,,164,187,837,1188,2481966,142563,173980,7740.662757
乌海市,,42,135,1094,1271,5598322,804757,94980,13045.08562
石嘴山市,,202,204,922,1328,4823793,267545,91370,16174.53495
双鸭山市,,264,179,1035,1478,4333342,237097,137245,16342.82062
鸡西市,,450,172,900,1522,5146868,345430,282753,16223.96288
资阳市,,512,216,879,1607,12703811,617733,260376,8164.981593
本溪市,,250,249,1114,1613,11646927,537680,276433,25890.66435
辽源市,,597,266,753,1616,7266404,281179,127528,12663.44489
汕尾市,,307,262,1119,1688,7620631,288275,240091,20179.25192
云浮市,,129,476,1084,1689,7131416,587005,222043,15669.05754
攀枝花市,,251,238,1418,1907,9251839,533412,304748,14435.38366
潮州市,,147,641,1121,1909,9101099,471928,197890,26275.53969
白山市,,438,268,1274,1980,6685521,447965,178344,8625.643877
通化市,,537,256,1189,1982,10012129,781264,280660,12365.26684
黑河市,,710,246,1044,2000,4478252,289440,306539,15537.24219
渭南市,,665,245,1148,2058,14690806,720568,464073,32607.07719
白城市,,1071,220,824,2115,6996822,401809,207679,18122.62231
固原市,,700,248,1175,2123,2170391,159094,66442,10576.50441
阳泉市,,348,319,1550,2217,5957009,441645,273026,14733.3458
中卫市,,599,325,1350,2274,3168907,212955,65550,14455.67066
景德镇市,,304,552,1432,2288,7720557,905885,195067,7807.251234
盘锦市,,378,276,1644,2298,12565377,950464,464428,47219.2609
鹰潭市,,422,261,1638,2321,6392614,830110,155403,5557.690319
贺州市,,765,284,1298,2347,4681077,471378,99206,7688.853646
陇南市,,970,245,1136,2351,3151353,514942,163200,8714.058968
池州市,,409,542,1419,2370,5447404,957790,107161,8510.464462
张家界市,,657,268,1447,2372,4477004,457025,86737,3961.05842
防城港市,,329,268,1780,2377,6207242,520496,108402,12368.77095
辽阳市,,416,374,1601,2391,10285818,676847,173529,41024.95025
雅安市,,795,277,1339,2411,5025788,303082,111269,8790.031704
鄂州市,,307,508,1599,2414,7300100,471713,215512,9991.205269
阳江市,,202,593,1650,2445,12500077,679307,236252,27077.08116
铜陵市,,277,411,1780,2468,9116000,668092,172622,13080.20661
阜新市,,793,369,1384,2546,5255376,371524,192556,15227.31942
内江市,,553,285,1721,2559,11985784,502682,298165,15060.97923
丽江市,,1052,120,1404,2576,2896117,477693,108319,13986.26987
鹤壁市,,289,436,1875,2600,7172528,528608,234716,12876.83873
韶关市,,484,383,1745,2612,11499806,852266,339531,20764.72341
来宾市,,942,307,1418,2667,5576985,302863,137925,12772.03259
抚顺市,,485,475,1760,2720,12164773,737669,274466,38834.58201
揭阳市,,233,691,1800,2724,18900144,774045,418208,43795.17523
广安市,,672,355,1747,2774,10056146,566985,157712,16718.48049
遂宁市,,796,300,1682,2778,9158112,493162,201295,16109.73825
乐山市,,525,319,1940,2784,13012326,855322,292757,20346.02483
三门峡市,,604,269,1976,2849,12510383,939398,273599,18263.81853
随州市,,541,486,1904,2931,7852600,433393,139893,7091.438544
吴忠市,,775,481,1678,2934,4048073,319659,96474,24746.0133
崇左市,,1221,235,1496,2952,6828231,501163,136950,9056.696133
舟山市,,67,567,2339,2973,10928459,1127221,466000,30370.94172
巴彦淖尔市,,690,425,1875,2990,8874300,657634,149266,16271.86132
广元市,,965,375,1676,3016,6054300,408176,167985,13295.64422
莱芜市,,292,422,2335,3049,6658300,501717,179247,11048.79342
淮北市,,395,515,2186,3096,7603904,602313,232182,19612.5086
肇庆市,,261,710,2170,3141,19700100,1433604,427813,35780.54925
巴中市,,1371,330,1515,3216,5013438,390502,309008,6065.562776
保山市,,1212,333,1680,3225,5519581,522364,188989,11210.56198
朔州市,,847,355,2070,3272,9011301,543000,196976,40670.48642
普洱市,,1517,237,1548,3302,5140121,474890,172565,11463.49703
丹东市,,488,548,2328,3364,9849006,663424,257797,21713.65114
萍乡市,,468,587,2312,3367,9123871,1060654,206191,4774.155397
乌兰察布市,,781,477,2129,3387,9137748,551510,159918,24486.46066
西安市,,681,732,1998,3411,58012000,6509853,1984561,164813.8265
佳木斯市,,1015,386,2035,3436,8101676,359846,180105,41995.20572
眉山市,,1203,370,1875,3448,10298632,831491,203445,14941.27059
自贡市,,805,356,2323,3484,11431113,448256,209710,10038.00518
酒泉市,,895,532,2060,3487,5447963,345580,144744,22770.05077
葫芦岛市,,956,620,1917,3493,7201673,571361,247957,25838.37971
牡丹江市,,627,516,2369,3512,13107000,589788,264769,30797.75135
铁岭市,,1371,475,1681,3527,7409003,502848,244774,20558.68928
海东市,,1967,370,1215,3552,3843963,217347,73849,12289.95378
漯河市,,641,475,2442,3558,9928496,682831,331813,20258.26267
娄底市,,972,449,2137,3558,12916626,599218,291192,13840.56025
临沧市,,1331,588,1651,3570,5021223,380608,147857,10126.24971
梧州市,,521,483,2588,3592,10785858,923727,193707,11472.93461
三亚市,,202,381,3032,3615,4358202,889178,126408,21450.98198
湘潭市,,675,492,2458,3625,17030972,1739190,436400,23040.05952
河源市,,988,654,1989,3631,8100793,674801,270731,22008.80501
武威市,,1601,421,1632,3654,4161872,268422,128873,13818.35744
平凉市,,1223,391,2117,3731,3476994,247157,181987,10884.11236
黄山市,,397,598,2785,3780,5309000,715955,113315,4837.535002
朝阳市,,931,562,2300,3793,8547329,547334,266727,25836.49373
天水市,,1317,537,2059,3913,5537728,366939,227881,14509.01263
鞍山市,,547,608,2761,3916,23369966,1290742,559614,48732.89898
德阳市,,493,644,2781,3918,16050640,886148,321366,28504.63306
钦州市,,976,457,2621,4054,9444242,503447,208312,20621.7061
濮阳市,,551,600,2921,4072,13283410,789989,408819,25422.9383
昭通市,,1118,427,2573,4118,7083761,552695,230913,17955.79247
定西市,,1841,349,1933,4123,3049178,243489,155227,12031.28099
安顺市,,1044,764,2342,4150,6254100,698639,183036,25458.71898
茂名市,,470,673,3038,4181,24456300,1139190,456620,27585.91472
梅州市,,877,659,2649,4185,9597781,1035910,293176,21312.36025
贵港市,,937,616,2684,4237,8652035,425671,187053,13666.34266
衢州市,,511,528,3201,4240,11461322,940151,207503,18823.94375
永州市,,1292,573,2400,4265,14181762,924799,323000,11887.59056
丽水市,,699,904,2678,4281,11032922,945064,184800,27046.60643
咸宁市,,895,822,2589,4306,10300700,801200,232957,11158.18395
营口市,,406,730,3195,4331,15137503,1040689,244473,43906.93602
北海市,,503,510,3319,4332,8920837,476136,146839,24402.06325
新余市,,406,375,3567,4348,9467964,988040,142720,7364.881979
大同市,,926,385,3050,4361,10533703,923963,407480,55142.89262
呼伦贝尔市,,1143,436,2824,4403,15989500,1033323,378066,36274.99574
大庆市,,542,530,3338,4410,29834587,1272318,520200,145673.7355
忻州市,,1363,500,2570,4433,6812356,736546,245764,42696.50134
锦州市,,1117,677,2667,4461,13273292,755188,317006,30917.92086
齐齐哈尔市,,1027,543,2924,4494,12703250,789712,407438,51193.96948
抚州市,,1288,798,2479,4565,11051377,1268195,389575,13401.33036
荆门市,,1091,748,2750,4589,13884600,804269,386916,10244.12302
晋城市,,714,485,3427,4626,10402416,939026,372995,23535.90741
湛江市,,552,730,3391,4673,23800243,1218571,510304,47099.1508
怀化市,,1631,575,2478,4684,12732479,1107921,264173,13265.25752
吕梁市,,1105,601,2995,4701,9558013,906798,361748,39834.15797
泸州市,,755,542,3425,4722,13534133,1282653,379496,14529.90088
焦作市,,712,698,3325,4735,19260785,1151098,503370,24801.77447
玉溪市,,1245,575,2930,4750,12445230,1248167,270100,30829.03133
绥化市,,1608,567,2578,4753,12722076,562140,261182,29152.72165
淮南市,,780,764,3224,4768,9010822,773133,330118,27366.57288
白银市,,1896,481,2409,4786,4342749,254908,179179,12113.55722
南充市,,1105,594,3094,4793,15162016,850746,468678,29302.88081
宣城市,,524,854,3444,4822,9714569,1315571,160428,21458.95273
河池市,,2603,419,1992,5014,6180346,314475,187991,13440.18316
四平市,,2943,438,1643,5024,12332487,622849,198127,32070.85367
三明市,,963,709,3387,5059,17130478,936821,245206,23702.1955
达州市,,1537,430,3137,5104,13507623,791548,344985,17010.49258
通辽市,,1517,656,2934,5107,18772700,1204800,293299,34638.87763
百色市,,1807,486,2819,5112,9803511,729817,218154,24200.87364
庆阳市,,1334,617,3169,5120,6094314,553993,180149,38327.17735
松原市,,2497,355,2272,5124,16373003,502083,260576,27884.07404
汕头市,,109,1364,3787,5260,18680251,1312614,547136,58179.13692
马鞍山市,,301,932,4028,5261,13653044,2100023,231375,38767.83167
张掖市,,2294,478,2528,5300,3735300,241363,132205,10793.57143
清远市,,1816,711,2775,5302,12778570,1083805,314989,43869.99192
宜宾市,,1450,574,3290,5314,15259043,1149677,362062,16211.51755
益阳市,,1502,870,3010,5382,13544119,685818,265555,7444.56057
龙岩市,,836,700,3879,5415,17384535,1246063,305614,25412.41527
十堰市,,1096,1177,3240,5513,13001200,933829,640976,13559.79724
黄石市,,732,1077,3712,5521,12281000,1005800,320758,16428.49042
拉萨市,,188,656,4691,5535,3767300,890277,446798,19448.60836
晋中市,,950,886,3809,5645,10461155,1002430,356406,47290.84126
孝感市,,1009,989,3681,5679,14572000,1227715,815130,17758.31618
邵阳市,,1646,785,3370,5801,13869988,1307821,382330,14715.88007
铜仁市,,2031,1054,2735,5820,7708924,566071,205109,15462.83422
长治市,,904,595,4351,5850,11953423,964350,427080,41809.74898
蚌埠市,,629,1043,4219,5891,12530550,1196801,269355,36478.61911
南平市,,1162,892,3910,5964,13395148,864266,248160,20518.83216
岳阳市,,1512,773,3704,5989,28862800,3027781,483506,24684.24282
株洲市,,1450,814,3813,6077,23351075,2904336,464740,20662.31831
鄂尔多斯市,,875,639,4617,6131,42261300,4458999,332304,77925.41157
郴州市,,1601,639,3962,6202,20120654,2202690,359159,22466.39363
安阳市,,739,947,4701,6387,18844808,1096434,589509,32775.43568
常德市,,1417,853,4141,6411,27090169,1486445,413595,20184.49585
临汾市,,1554,676,4210,6440,11611090,881813,371749,32702.06114
吉安市,,1531,1428,3488,6447,13285198,1617237,383068,15062.94283
西宁市,,815,894,4801,6510,11316193,947861,341614,37955.01505
江门市,,268,1947,4310,6525,22400243,1990104,582854,60684.56901
平顶山市,,1162,795,4630,6587,17057781,1178762,558658,33793.56004
玉林市,,1613,894,4080,6587,14461253,971599,345645,23872.34661
东营市,,427,982,5391,6800,34506400,2200829,438594,62040.15977
包头市,,775,735,5411,6921,37219300,2523021,402221,61725.98479
荆州市,,1536,1063,4363,6962,15905000,1039499,427800,17828.15705
秦皇岛市,,1026,892,5173,7091,12504439,1143620,328441,41115.04151
宁德市,,1602,1236,4328,7166,14873590,1043894,310076,30868.07483
新乡市,,1554,1154,4490,7198,19750287,1445666,685918,41134.77187
衡阳市,,1991,922,4290,7203,26015749,1946416,540482,18163.77108
承德市,,2229,1003,3981,7213,13587278,972646,299368,34579.95477
六盘水市,,2057,968,4321,7346,12010800,1302641,240938,24083.28151
绵阳市,,1190,761,5467,7418,17003318,1041308,512583,27952.82344
滁州市,,1476,1566,4423,7465,13056964,1437304,237490,47055.31305
莆田市,,332,1160,6107,7599,16551618,1156473,497001,54762.38902
柳州市,,886,901,5850,7637,22986169,1466765,616538,42345.62837
赤峰市,,2394,1096,4184,7674,18612749,1045777,339476,39992.98102
六安市,,2573,1351,3768,7692,10164885,1033345,1088690,25121.51677
宜昌市,,1264,1194,5387,7845,33848000,3391000,934399,25165.4124
日照市,,853,1482,5559,7894,16708000,1216512,310007,35066.74838
许昌市,,1440,1475,4990,7905,21711562,1385496,452013,26048.50875
运城市,,1813,1243,4877,7933,11740143,562961,359791,28519.81641
信阳市,,2609,980,4367,7956,18777440,910323,631106,21543.67431
枣庄市,,1013,1225,5760,7998,20310028,1493149,473136,27550.25446
安庆市,,1766,1967,4528,8261,14174300,1065708,334413,19906.82759
桂林市,,1310,1054,6067,8431,19429668,1345258,443869,24860.57674
宿州市,,2297,1474,4710,8481,12358259,860152,765000,32365.97764
宜春市,,1511,1547,5448,8506,16210204,2150377,459122,19064.57482
芜湖市,,687,1636,6207,8530,24573234,2634682,444659,50814.52116
曲靖市,,2552,696,5387,8635,16502574,1180929,472423,45369.58794
毕节市,,2682,1500,4525,8707,14613476,1076178,318214,22120.32504
张家口市,,1738,1400,5750,8888,13635443,1334334,376079,45694.28535
商丘市,,2180,1278,5485,8943,18121623,1107127,702036,39298.62275
开封市,,2863,1380,4739,8982,16058404,1082750,489413,26270.67906
漳州市,,1308,1752,5998,9058,27673767,1791025,551733,74084.29264
湖州市,,274,2395,6700,9369,20842666,1913116,500579,51029.47414
镇江市,,380,2711,6635,9726,35024800,3028500,504999,70778.96211
上饶市,,2263,1803,5663,9729,16508064,2223687,463290,17013.11126
黄冈市,,2634,1532,5774,9940,15892400,1128244,637671,19706.40433
德州市,,2030,2100,5910,10040,27509400,1827800,563409,34555.37662
九江市,,1797,1825,6536,10158,19026783,2472022,468092,27229.17275
泰安市,,1268,1674,7342,10284,31583900,2053136,731720,29987.79191
呼和浩特市,,986,1045,8553,10584,30905200,2474021,415684,79284.73337
襄阳市,,2286,1879,6608,10773,33821200,3391000,992278,23856.03142
驻马店市,,4564,940,5341,10845,18070960,959790,736475,35329.39901
衡水市,,1513,4323,5222,11058,12200080,885155,295191,23786.36274
滨州市,,2524,2049,6707,11280,23553298,2041481,525433,55070.74429
威海市,,1399,2034,7872,11305,30015700,2497470,576144,44346.3439
周口市,,4437,1673,5476,11586,20896975,1004186,703993,27593.95249
连云港市,,1103,2085,8454,11642,21606400,2917700,476720,55517.33473
亳州市,,4627,1089,6052,11768,9426090,825881,233844,25293.32133
泰州市,,895,3310,7718,11923,36879000,3165600,1071718,69889.12592
吉林市,,2628,1457,7904,11989,23941860,1328429,400216,52799.32042
乌鲁木齐市,,361,1076,10579,12016,26316398,3686663,714306,121197.9476
赣州市,,2250,1916,7870,12036,19738688,2455124,578757,33065.74813
唐山市,,1782,1576,8861,12219,61030601,3349797,894361,148643.1863
聊城市,,1615,2433,8357,12405,26636200,1759318,476301,40453.64932
洛阳市,,1936,1680,8950,12566,34690273,2866887,747762,53961.52652
银川市,,762,1244,10798,12804,14938590,1712788,787188,89555.56879
廊坊市,,1145,3944,7797,12886,24738649,3033844,444543,79767.85463
淮安市,,1217,2775,8968,12960,27450900,3503100,725160,56282.75858
宿迁市,,1509,2773,8810,13092,21261900,2356700,518529,39760.63612
沧州市,,1892,4329,6971,13192,33206328,2109070,525718,79730.03453
遵义市,,1926,2407,9022,13355,21683400,1776105,424087,39501.66547
阜阳市,,3093,2332,8047,13472,12674505,1200425,322754,41132.12626
海口市,,608,1937,11163,13708,11619648,1115041,491620,39309.91686
绍兴市,,391,3696,9864,13951,44659653,3628935,1386252,85802.62765
台州市,,747,4612,8697,14056,35538533,2980170,1011098,92071.44685
中山市,,113,5426,8732,14271,30100326,2874655,829382,76087.37806
淄博市,,908,2848,10677,14433,41302400,3179275,871377,51404.59602
邢台市,,788,6162,7730,14680,17647323,1765066,449741,38771.90597
嘉兴市,,276,3169,11586,15031,35178068,3503450,809112,87598.66153
惠州市,,640,3901,10545,15086,31400306,3400183,918574,91192.52275
南阳市,,4181,1344,9698,15223,28668156,1570828,959404,37263.0191
太原市,,494,1769,12974,15237,27353442,2742403,1050453,93559.16068
兰州市,,1763,2068,11625,15456,20959920,1851917,671803,64894.62608
珠海市,,118,1764,14499,16381,20254111,2699634,742715,50570.50077
南昌市,,886,2192,13983,17061,40000140,3893412,1250580,49892.56867
盐城市,,1177,4288,12067,17532,42125000,4775000,892186,81863.02325
常州市,,392,4549,13415,18356,52731500,4662800,698933,106416.7378
邯郸市,,1806,3765,13691,19262,31454319,1906215,771689,59158.44957
扬州市,,918,6748,12158,19824,40168400,3367500,1084246,72282.67553
菏泽市,,4818,3753,11665,20236,24009600,1776571,519973,41811.28014
哈尔滨市,,3565,2148,15249,20962,57512119,4077328,1333069,161393.5951
保定市,,1854,5842,13585,21281,30003400,2128605,998300,76328.25674
温州市,,1609,6593,13236,21438,46180766,4030735,1065635,108675.1493
南通市,,731,5171,16110,22012,61483955,6256400,2098220,141878.8595
金华市,,445,4685,17184,22314,34023399,3096885,944277,106948.1774
沈阳市,,1345,3003,18842,23190,72723051,6062411,1467488,184471.6745
济宁市,,3461,3431,16501,23393,40131243,3686166,878554,61477.46138
长春市,,4801,3093,15934,23828,55300345,3882213,1260604,163934.91
徐州市,,1675,5066,17237,23978,53198804,5306800,1049890,90727.15226
贵阳市,,1343,2897,20603,24843,28911600,3741476,1040194,74342.03931
大连市,,1094,2971,20923,24988,77316363,5799130,1136838,125080.1077
临沂市,,3238,5128,16778,25144,37631700,2838887,938813,87507.41886
佛山市,,215,7354,20263,27832,80039186,5575469,1700391,152753.8287
泉州市,,1222,7004,21103,29329,61377139,3883036,1505631,159557.9268
无锡市,,368,4594,24696,29658,85182600,8300000,1187899,171474.5144
烟台市,,4132,4068,21490,29690,64460800,5426570,1052017,106685.9189
潍坊市,,6540,6002,19057,31599,51705000,4845057,870238,91581.72239
合肥市,,1693,4112,27249,33054,56602700,5715440,1438665,139210.3495
福州市,,1127,3228,28781,33136,56180844,5604635,1562770,124301.1861
昆明市,,2561,3217,28638,34416,39680051,5022161,1328261,131716.301
宁波市,,536,8106,26151,34793,80036103,10064065,1668330,252267.169
南宁市,,2452,3001,30770,36223,34100859,2970501,959514,90547.99922
长沙市,,2789,3138,31073,37000,85101328,7189468,1304623,107222.834
济南市,,686,4128,32947,37761,61002320,6143172,1318963,91533.21033
石家庄市,,1630,7604,31418,40652,54405988,3750529,1003184,95407.28394
厦门市,,437,5389,36710,42536,34660288,6060967,1367698,95864.22092
东莞市,,149,16328,29130,45607,62750737,5179682,2322753,168492.9088
武汉市,,953,6215,42456,49624,109056000,12456338,2072768,175017.5225
青岛市,,1862,9301,38671,49834,93000700,10063220,1501168,167059.2569
杭州市,,670,4677,51767,57114,100502079,12338820,2885605,205115.0106
郑州市,,1582,4807,50991,57380,73115210,9428968,1985732,155933.856
天津市,,2319,7004,49515,58838,165381900,26671100,2947801,375277.1048
苏州市,,384,10531,53791,64706,145040700,15607600,3039299,438909.8309
成都市,,2573,6680,60819,70072,108011633,11576393,5360594,249722.6076
重庆市,Chongqing,20850,9939,60724,91513,157172700,21548276,,212169.2312
广州市,Guangzhou,637,11405,83935,95977,181004136,13494742,3203134,250569.5987
南京市,,553,5508,112314,118375,97207700,10200300,2130973,176963.2795
北京市,Beiing,842,7389,187245,195476,230145900,47238597,7773448,407422.3997
上海市,Shanghai,663,14676,195929,211268,251234500,55194964,7228840,564923.3747
深圳市,Shenzhen,603,19438,241633,261674,175028634,27268543,4599649,187258.791